,ORG,DST,SECTOR_ID,SDD,TOTAL_CORE,ORG_CTRY,DST_CTRY,ORG_REGION,DST_REGION,IN_SCOPE
49607,179,235,221,2014-02-03,62985.0,132,172,132,201,1
49608,235,120,224,2010-06-11,62987.0,172,191,201,174,1
49609,219,235,113,2016-11-03,62988.0,197,172,180,201,1
49612,235,120,224,2016-07-05,62993.0,172,191,201,174,1
49616,235,120,224,2015-10-12,62997.0,172,191,201,174,1
49619,219,235,113,2011-05-18,63005.0,197,172,180,201,1
49620,235,219,163,2012-01-19,63008.0,172,197,201,180,1
49622,219,235,113,2015-10-15,63010.0,197,172,180,201,1
49625,235,120,224,2015-01-30,63013.0,172,191,201,174,1
49626,235,120,224,2016-02-17,63014.0,172,191,201,174,1
49629,128,235,230,2011-03-09,63034.0,126,172,174,201,1
49631,235,216,112,2010-04-28,63038.0,172,153,201,149,1
49633,179,235,221,2013-04-14,63041.0,132,172,132,201,1
49634,219,235,113,2014-02-04,63043.0,197,172,180,201,1
49635,129,235,200,2012-01-07,63043.0,124,172,149,201,1
49637,219,235,113,2012-02-15,63048.0,197,172,180,201,1
49641,233,235,108,2016-01-19,63049.0,206,172,201,201,1
49644,219,235,113,2014-08-04,63055.0,197,172,180,201,1
49645,216,235,190,2011-02-19,63056.0,153,172,149,201,1
49648,203,235,231,2015-07-18,63061.0,124,172,149,201,1
49650,235,120,224,2012-05-26,63062.0,172,191,201,174,1
49651,120,235,169,2015-01-14,63063.0,191,172,174,201,1
49652,233,235,108,2015-03-11,63063.0,206,172,201,201,1
49653,120,233,152,2015-03-11,63063.0,191,206,174,201,1
49654,203,235,231,2013-08-23,63065.0,124,172,149,201,1
49655,235,120,224,2013-03-21,63068.0,172,191,201,174,1
49656,235,120,224,2015-04-30,63072.0,172,191,201,174,1
49657,203,235,231,2014-09-18,63074.0,124,172,149,201,1
49658,235,120,224,2015-03-04,63075.0,172,191,201,174,1
49659,235,120,224,2015-02-27,63080.0,172,191,201,174,1
49660,235,217,175,2015-06-28,63081.0,172,197,201,180,1
49662,203,235,231,2012-07-08,63086.0,124,172,149,201,1
49663,203,235,231,2016-12-10,63086.0,124,172,149,201,1
49665,219,235,113,2015-03-25,63090.0,197,172,180,201,1
49668,203,235,231,2016-04-08,63097.0,124,172,149,201,1
49673,216,162,184,2010-07-31,63105.0,153,110,149,201,1
49676,179,235,221,2015-09-13,63122.0,132,172,132,201,1
49677,120,235,169,2011-02-11,63124.0,191,172,174,201,1
49678,203,235,231,2013-08-29,63127.0,124,172,149,201,1
